ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours,CODE
18,10,8,4,1,330,16,4,28,205.917,92,0,2,0,0,0,0,84.0,182.0,25.0,8,25bc5faa-b97e-4eac-b3cd-4f84639226eb
3,11,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89.0,170.0,31.0,1,27ec8a2e-68af-403c-8120-b2547c9d31fe
10,13,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80.0,172.0,27.0,40,292f999c-8446-4987-b968-fd92ff3e87a0
20,28,8,6,1,260,50,11,36,205.917,92,0,1,4,1,0,0,65.0,168.0,23.0,4,2a5a4ab5-1d29-4058-bb53-78a8d8940127
11,18,8,2,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90.0,172.0,30.0,8,2c2b4978-5427-4f88-a6d7-f44dbadd1d98
10,25,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80.0,172.0,27.0,7,2f889068-ffca-4ee6-9011-35c90967ddd3
11,23,8,3,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90.0,172.0,30.0,1,320272eb-c22f-4a27-b838-9ec7f9390641
30,28,8,4,1,157,27,6,29,205.917,92,0,1,0,1,1,0,75.0,185.0,22.0,4,3332f81b-eee5-4ffb-a4c1-2d05086ca444
11,18,8,4,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90.0,172.0,30.0,8,351dc9b2-3ca4-4774-9a71-797fa7561d79
3,23,8,6,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89.0,170.0,31.0,2,37024e7b-d078-47c6-b61b-93a58aa42d03
3,18,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89.0,170.0,31.0,8,3983729e-e3e7-43f5-8bc1-7e23b8a6c468
2,18,8,5,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88.0,163.0,33.0,8,3b6e66ce-bdfc-4ee8-acd4-5f1070067bbd
1,23,8,5,1,235,11,14,37,205.917,92,0,3,1,0,0,1,88.0,172.0,29.0,4,3d432aea-fa80-4592-97bd-218140767000
2,18,8,2,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88.0,163.0,33.0,8,3e7c6e12-be9f-48c9-a815-f7f6f17e7d76
3,23,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89.0,170.0,31.0,2,401ba242-98b8-4587-b5f6-fdff95e419fb
10,23,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80.0,172.0,27.0,1,420dc50c-a1e2-4edc-ba48-97cfe78acf50
11,24,8,3,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90.0,172.0,30.0,8,436a118f-36a8-4396-bc60-aa716329545f
19,11,8,5,1,291,50,12,32,205.917,92,0,1,0,1,0,0,65.0,169.0,23.0,4,453682c3-a064-4b72-a44c-f9b16c1b39ae
2,28,8,6,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88.0,163.0,33.0,8,47a0083b-630e-416c-98be-1edf6d5731bb
20,23,8,6,1,260,50,11,36,205.917,92,0,1,4,1,0,0,65.0,168.0,23.0,4,48f8e0e0-94ba-46a3-964e-421595f8c98c
27,23,9,3,1,184,42,7,27,241.476,92,0,1,0,0,0,0,58.0,167.0,21.0,2,4c6b4773-b332-4afa-bf6c-be0f9b3c0449
34,23,9,2,1,118,10,10,37,241.476,92,0,1,0,0,0,0,83.0,172.0,28.0,4,4ec0fa97-9a99-4548-8140-22df5a7f8460
3,23,9,3,1,179,51,18,38,241.476,92,0,1,0,1,0,0,89.0,170.0,31.0,4,4fd4f7d5-7ed6-420e-aa7b-660d02d412ce
5,19,9,3,1,235,20,13,43,241.476,92,0,1,1,1,0,0,106.0,167.0,38.0,8,52082505-e260-4484-8c77-22971030a421
14,23,9,4,1,155,12,14,34,241.476,92,0,1,2,1,0,0,95.0,196.0,25.0,2,53a419ae-e406-450c-8a34-be4fb9192bb8
34,23,9,2,1,118,10,10,37,241.476,92,0,1,0,0,0,0,83.0,172.0,28.0,3,5469fcdf-193c-4790-8bcb-550d55c1781c
3,23,9,3,1,179,51,18,38,241.476,92,0,1,0,1,0,0,89.0,170.0,31.0,3,55d0f966-4605-4799-ba74-5f6afcf06682
15,23,9,5,1,291,31,12,40,241.476,92,0,1,1,1,0,1,73.0,171.0,25.0,4,584477ad-9e9e-4afd-b837-daa836495e97
20,22,9,6,1,260,50,11,36,241.476,92,0,1,4,1,0,0,65.0,168.0,23.0,8,596ad5cc-0fc5-42a5-b502-2fc212a86343
15,14,9,2,4,291,31,12,40,241.476,92,0,1,1,1,0,1,73.0,171.0,25.0,32,5b0a87bb-aa9c-4c7f-b7f7-1bdee8d81631
20,0,9,2,4,260,50,11,36,241.476,92,1,1,4,1,0,0,65.0,168.0,23.0,0,5c2d6e26-9e8d-439c-a39b-4ac7caade1b5
29,0,9,2,4,225,26,9,28,241.476,92,1,1,1,0,0,2,69.0,169.0,24.0,0,5ddc482f-744e-4299-bd25-86a77549fed3
28,23,9,3,4,225,26,9,28,241.476,92,0,1,1,0,0,2,69.0,169.0,24.0,2,5ffba7bc-1ce5-4515-970d-d4d65d390164
34,23,9,3,4,118,10,10,37,241.476,92,0,1,0,0,0,0,83.0,172.0,28.0,2,61301d94-0f1e-4485-8290-bd1bf25887b1
11,0,9,3,4,289,36,13,33,241.476,92,1,1,2,1,0,1,90.0,172.0,30.0,0,6387c146-4cf6-4ce0-93f2-f457c4d1dd97
36,0,9,3,4,118,13,18,50,241.476,92,1,1,1,1,0,0,98.0,178.0,31.0,0,6535eefc-dbf6-4163-95ff-f84c2a7a9034
28,18,9,4,4,225,26,9,28,241.476,92,0,1,1,0,0,2,69.0,169.0,24.0,3,662b7f2b-46c1-41f8-9fbe-f23c3e9bdce3
3,23,9,4,4,179,51,18,38,241.476,92,0,1,0,1,0,0,89.0,170.0,31.0,3,67f29fa4-620b-4f61-8e2e-befc7f1f3382
13,0,9,4,4,369,17,12,31,241.476,92,1,1,3,1,0,0,70.0,169.0,25.0,0,69e80ba0-dcba-4f62-bd3a-34e902e79e85
33,23,9,6,4,248,25,14,47,241.476,92,0,1,2,0,0,1,86.0,165.0,32.0,1,6b65924b-35e3-451d-9e87-5a231217bf45
3,23,9,6,4,179,51,18,38,241.476,92,0,1,0,1,0,0,89.0,170.0,31.0,3,6dc54774-527e-49f4-bbce-96dabb4118bc
20,23,9,6,4,260,50,11,36,241.476,92,0,1,4,1,0,0,65.0,168.0,23.0,4,6fda7aa1-1a88-45ea-869f-85e9bb1530e9
3,23,10,3,4,179,51,18,38,253.465,93,0,1,0,1,0,0,89.0,170.0,31.0,3,722b7a59-6847-418c-a897-0e479c3a8762
34,23,10,3,4,118,10,10,37,253.465,93,0,1,0,0,0,0,83.0,172.0,28.0,3,73e64ba1-cdc2-4924-812f-fca4748869a2
36,0,10,4,4,118,13,18,50,253.465,93,1,1,1,1,0,0,98.0,178.0,31.0,0,764386f4-80da-4441-ba87-651f5d4fc680
22,23,10,5,4,179,26,9,30,253.465,93,0,3,0,0,0,0,56.0,171.0,19.0,1,77f201b7-6807-4dd7-8e2a-0bd84249d25c
3,23,10,6,4,179,51,18,38,253.465,93,0,1,0,1,0,0,89.0,170.0,31.0,3,79472599-7d06-45e0-b9c7-e89883634d7c
28,23,10,6,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69.0,169.0,24.0,3,7a95a338-7dec-4d37-a60a-a2084516a5d6
34,23,10,3,4,118,10,10,37,253.465,93,0,1,0,0,0,0,83.0,172.0,28.0,3,7cfc1b59-308f-4c5c-a0a8-26d2a6809340
28,23,10,4,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69.0,169.0,24.0,2,7ed6de3f-0738-4cc7-b17b-525a8392db20
33,23,10,4,4,248,25,14,47,253.465,93,0,1,2,0,0,1,86.0,165.0,32.0,2,804055c0-3340-40cc-8c0a-3dae4fa6c2d8
15,23,10,5,4,291,31,12,40,253.465,93,0,1,1,1,0,1,73.0,171.0,25.0,5,827a3b76-6768-4f68-b6a0-c29dcaaf90a8
3,23,10,4,4,179,51,18,38,253.465,93,0,1,0,1,0,0,89.0,170.0,31.0,8,8574125e-8155-479c-8829-39c606c8819f
28,23,10,4,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69.0,169.0,24.0,3,875ebd6d-4bb3-419b-86f5-2a3a3f49e4c5
20,19,10,5,4,260,50,11,36,253.465,93,0,1,4,1,0,0,65.0,168.0,23.0,16,8a96e1d5-c733-47ff-b39e-bb3108b05e88
15,14,10,3,4,291,31,12,40,253.465,93,0,1,1,1,0,1,73.0,171.0,25.0,8,8d85ba0a-e46d-455d-b79e-45f406406386
28,28,10,3,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69.0,169.0,24.0,2,8f6525de-6452-47b9-933c-0f7a7fa15c55
11,26,10,4,4,289,36,13,33,253.465,93,0,1,2,1,0,1,90.0,172.0,30.0,8,921ddf43-92ee-4329-8ce8-aaa380d2facf
10,23,10,6,4,361,52,3,28,253.465,93,0,1,1,1,0,4,80.0,172.0,27.0,1,93c411b7-255d-44a5-af40-1ce073192f67
20,28,10,6,4,260,50,11,36,253.465,93,0,1,4,1,0,0,65.0,168.0,23.0,3,9526db60-d1fc-4ac7-a5bb-826beb637fa9
3,23,11,5,4,179,51,18,38,306.345,93,0,1,0,1,0,0,89.0,170.0,31.0,1,978fd774-c1e1-446a-8908-f8b5dae0fde2
28,23,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69.0,169.0,24.0,1,992f4e61-37ab-4688-ac4a-0b4106f0f84f
3,13,11,5,4,179,51,18,38,306.345,93,0,1,0,1,0,0,89.0,170.0,31.0,8,9bd37b27-8a18-4d55-9b53-7e1e661731f9
17,21,11,5,4,179,22,17,40,306.345,93,0,2,2,0,1,0,63.0,170.0,22.0,8,9d3ae4c7-0a6e-4516-a00a-63c6f0e0e5ed
15,23,11,5,4,291,31,12,40,306.345,93,0,1,1,1,0,1,73.0,171.0,25.0,5,9e9d1b4e-44f8-4b71-8061-07691cc5f733
14,10,11,2,4,155,12,14,34,306.345,93,0,1,2,1,0,0,95.0,196.0,25.0,32,a030e97e-1a0e-47c5-8dba-d33d936ca222
6,22,11,2,4,189,29,13,33,306.345,93,0,1,2,0,0,2,69.0,167.0,25.0,8,a149f39c-fd78-4f61-bb1c-77c6813cd001
15,14,11,2,4,291,31,12,40,306.345,93,0,1,1,1,0,1,73.0,171.0,25.0,40,a2f4c4cb-9093-4c77-b5fb-13a05ec250dc
28,23,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69.0,169.0,24.0,1,a451cbec-a3b0-45e2-af8a-f5a9a558072b
14,6,11,6,4,155,12,14,34,306.345,93,0,1,2,1,0,0,95.0,196.0,25.0,8,a613c3ff-97b7-471f-9ff6-bf7151e2900f
28,23,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69.0,169.0,24.0,3,a7532032-8527-4094-bd41-871258885a6b
17,21,11,4,4,179,22,17,40,306.345,93,0,2,2,0,1,0,63.0,170.0,22.0,8,a8dc8cdf-aa1c-45e9-ad7d-ee27a6a10e2a
28,13,11,6,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69.0,169.0,24.0,3,aada34f3-aaef-49f9-b4fa-e8b11410ca77
20,28,11,6,4,260,50,11,36,306.345,93,0,1,4,1,0,0,65.0,168.0,23.0,4,acd7326d-fe58-4c6a-a7a3-037c33fbda51
33,28,11,2,4,248,25,14,47,306.345,93,0,1,2,0,0,1,86.0,165.0,32.0,1,af409251-a3bf-4891-8e42-dc642e6571e6
28,28,11,3,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69.0,169.0,24.0,3,b185d5ad-2194-41fd-8ff5-2787be1ccde0
11,7,11,4,4,289,36,13,33,306.345,93,0,1,2,1,0,1,90.0,172.0,30.0,24,b3a28bbe-0a27-4c54-a3dc-6024fb4ba399
15,23,11,5,4,291,31,12,40,306.345,93,0,1,1,1,0,1,73.0,171.0,25.0,3,b56253ba-5efd-425f-a02b-12faba1d1294
33,23,12,3,4,248,25,14,47,261.306,97,0,1,2,0,0,1,86.0,165.0,32.0,1,b6622243-33f9-4a52-8755-2664e5912590
34,19,12,3,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83.0,172.0,28.0,64,b7e84b5b-fa9c-4f46-b0ca-2dd59f4a716c
36,23,12,4,4,118,13,18,50,261.306,97,0,1,1,1,0,0,98.0,178.0,31.0,2,b93644c1-46fc-4408-ada3-04d2307aa492
1,26,12,4,4,235,11,14,37,261.306,97,0,3,1,0,0,1,88.0,172.0,29.0,8,baf5375a-5d5b-4c90-933a-cdcedde14da4
28,23,12,5,4,225,26,9,28,261.306,97,0,1,1,0,0,2,69.0,169.0,24.0,2,bdf5a793-795e-42fb-8d63-51b932bce7fe
20,26,12,6,4,260,50,11,36,261.306,97,0,1,4,1,0,0,65.0,168.0,23.0,8,c00c3a69-6454-4181-8abe-fcf0ffd991f6
34,19,12,3,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83.0,172.0,28.0,56,c277a645-9ae1-47d2-9d7e-eaf2aeb1e5be
10,22,12,4,4,361,52,3,28,261.306,97,0,1,1,1,0,4,80.0,172.0,27.0,8,c3f3fd4b-2d20-493c-8882-04ca302b1a1e
28,28,12,5,4,225,26,9,28,261.306,97,0,1,1,0,0,2,69.0,169.0,24.0,3,c5628db1-e974-41fa-8a0b-3694c4473c7b
20,28,12,6,4,260,50,11,36,261.306,97,0,1,4,1,0,0,65.0,168.0,23.0,3,c68d97a4-deee-4b57-8440-574ca2b1ce4a
28,23,12,3,4,225,26,9,28,261.306,97,0,1,1,0,0,2,69.0,169.0,24.0,2,c8a4a19f-100c-4500-893a-80e462410ebf
10,22,12,4,4,361,52,3,28,261.306,97,0,1,1,1,0,4,80.0,172.0,27.0,8,ca243038-d93b-4bda-814b-4b28388a8e73
34,27,12,6,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83.0,172.0,28.0,2,cb8a077b-db9b-48d1-8f00-1e31eba5865a
24,19,12,6,2,246,25,16,41,261.306,97,0,1,0,1,0,0,67.0,170.0,23.0,8,ccb1054a-c99d-4024-a44e-b546afb7c4ed
28,23,12,6,2,225,26,9,28,261.306,97,0,1,1,0,0,2,69.0,169.0,24.0,2,cdf5c8c3-94d3-4ec0-bedc-ffcd1a7ab832
28,23,1,4,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69.0,169.0,24.0,1,d05527de-d5ca-4769-8cbf-42a9828f9fbb
34,19,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83.0,172.0,28.0,1,d21e91d7-1fa6-4a07-a55f-ad1782ec6c2c
34,27,1,3,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83.0,172.0,28.0,1,d447b790-f340-4c9f-a0b4-be1cbedbd4ff
14,18,1,3,2,155,12,14,34,308.593,95,0,1,2,1,0,0,95.0,196.0,25.0,8,d51e4fbd-3979-4416-b3a7-75d1b9143818
28,27,1,4,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69.0,169.0,24.0,2,d60ac74d-afc0-434d-8b6f-ed4f92597749
27,23,1,5,2,184,42,7,27,308.593,95,0,1,0,0,0,0,58.0,167.0,21.0,2,d8be5e47-cdcd-43fe-8c05-c6c862b08632
28,28,1,5,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69.0,169.0,24.0,2,daa5fc25-d103-4b61-a6d9-a9b1e0238613
28,27,1,6,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69.0,169.0,24.0,1,dba17dcc-368b-49f1-bfa1-ea352303d956
34,27,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83.0,172.0,28.0,2,dca38d18-1040-43b9-bfd0-68155aaf138f
28,27,1,3,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69.0,169.0,24.0,2,df102326-66f3-4f92-ae15-d566a1e860ea
34,27,1,3,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83.0,172.0,28.0,2,e0008e6e-3f6f-4db9-a8dd-a60c9e94c9c2
34,27,1,4,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83.0,172.0,28.0,2,e1c2d29a-8b83-496c-8240-64795d0f1443
34,27,1,5,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83.0,172.0,28.0,2,e35edc11-3fbd-4da7-bc4f-8d40a145c882
34,27,1,6,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83.0,172.0,28.0,2,e4cc068b-1508-4341-beec-e9504e1381ec
34,27,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83.0,172.0,28.0,2,e6937537-3c96-4e1c-8fb2-9e885e4da882
34,27,1,3,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83.0,172.0,28.0,2,e7a22d72-ae70-4dd7-b424-e20d731b79de
22,18,1,3,2,179,26,9,30,308.593,95,0,3,0,0,0,0,56.0,171.0,19.0,8,e941f79b-41ca-47b6-8d9d-2a42a629651d
11,18,1,3,2,289,36,13,33,308.593,95,0,1,2,1,0,1,90.0,172.0,30.0,8,eb03b860-43d8-4479-b354-dd72d1ff29f1
34,27,1,4,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83.0,172.0,28.0,2,ec3c28fe-7f4d-4e3e-b1b8-704d5df031ea
27,23,1,5,2,184,42,7,27,308.593,95,0,1,0,0,0,0,58.0,167.0,21.0,2,ed76129b-098c-4afb-95f3-ec24e09c4ff7
34,27,1,5,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83.0,172.0,28.0,2,eed0dee5-36b9-4d18-acb0-a779ac0e348e
34,27,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83.0,172.0,28.0,0,f004e6fa-84dd-4a62-8870-2b7dcb95a430
28,23,1,3,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69.0,169.0,24.0,1,f1a785a0-6621-4476-b173-ffd8f9d76055
11,22,1,5,2,289,36,13,33,308.593,95,0,1,2,1,0,1,90.0,172.0,30.0,3,f2a1283b-9adf-4b05-86fb-e5cac3b660e0
27,23,2,6,2,184,42,7,27,302.585,99,0,1,0,0,0,0,58.0,167.0,21.0,1,f413e17f-4278-41f2-a997-18b3fef17fa0
24,1,2,4,2,246,25,16,41,302.585,99,0,1,0,1,0,0,67.0,170.0,23.0,8,f43f49f7-dc9b-454e-8d6a-023ca2151cb4
3,11,2,4,2,179,51,18,38,302.585,99,0,1,0,1,0,0,89.0,170.0,31.0,8,f480e532-daa2-4a77-923e-703690384faa
14,28,2,5,2,155,12,14,34,302.585,99,0,1,2,1,0,0,95.0,196.0,25.0,2,f4b49f86-064c-40eb-a078-bbd1a32a58e3
6,23,2,5,2,189,29,13,33,302.585,99,0,1,2,0,0,2,69.0,167.0,25.0,8,f4c66088-3f97-4288-9a0c-0f5b51598389
20,28,2,6,2,260,50,11,36,302.585,99,0,1,4,1,0,0,65.0,168.0,23.0,2,f4c7469a-d626-4376-8c38-eefb117f9227
11,22,2,6,2,289,36,13,33,302.585,99,0,1,2,1,0,1,90.0,172.0,30.0,8,f4d0b577-c8f2-478e-b6c2-729f9d43d1eb
31,11,2,2,2,388,15,9,50,302.585,99,0,1,0,0,0,0,76.0,178.0,24.0,8,f2adc251-86a9-405f-9fe9-d058be7f6674
31,1,2,3,2,388,15,9,50,302.585,99,0,1,0,0,0,0,76.0,178.0,24.0,8,f2ce0422-88df-448f-92e9-ac1d8dcf31c2
28,28,2,2,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69.0,169.0,24.0,2,f32053d0-85e1-45de-a6e0-44a42085eccd
28,23,2,3,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69.0,169.0,24.0,2,f34a0724-acb0-499c-88ea-57a13d34d957
22,23,2,3,2,179,26,9,30,302.585,99,0,3,0,0,0,0,56.0,171.0,19.0,1,f36e161b-4bea-41b0-b1d9-8cd6d39884c7
27,23,2,3,2,184,42,7,27,302.585,99,0,1,0,0,0,0,58.0,167.0,21.0,8,f3be36cf-c57e-4e89-ac18-b2fab21b968d
28,25,2,5,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69.0,169.0,24.0,3,f3d4e8bb-e1d4-4333-82e5-6d1bfa367ec0
18,18,2,2,2,330,16,4,28,302.585,99,0,2,0,0,0,0,84.0,182.0,25.0,8,f3f46cf4-aa7c-41d3-84fa-a8befea0b608
18,23,2,3,2,330,16,4,28,302.585,99,0,2,0,0,0,0,84.0,182.0,25.0,1,f4060a01-5a5a-420a-b26a-d87e4888e66f
28,23,2,4,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69.0,169.0,24.0,1,f5035478-a276-49ce-8465-f6656e9cba18
6,19,2,5,2,189,29,13,33,302.585,99,0,1,2,0,0,2,69.0,167.0,25.0,8,f517ed14-a62c-40a5-95f6-124fc1e97ed5
19,28,3,3,2,291,50,12,32,343.253,95,0,1,0,1,0,0,65.0,169.0,23.0,2,f5530db8-d96e-4eaf-88a2-c025adc1757c
20,19,3,3,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65.0,168.0,23.0,8,f55edac3-cb78-41f7-98d0-9a4c3ff54039
30,19,3,3,2,157,27,6,29,343.253,95,0,1,0,1,1,0,75.0,185.0,22.0,3,f56bd7ea-2ecb-4d2f-98db-5660d67ca878
17,17,3,3,2,179,22,17,40,343.253,95,0,2,2,0,1,0,63.0,170.0,22.0,8,f57b724b-9c38-47af-b83b-5962faa5ef9e
15,22,3,4,2,291,31,12,40,343.253,95,0,1,1,1,0,1,73.0,171.0,25.0,8,f58a3267-b04f-4458-b747-95e73694648d
20,13,3,4,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65.0,168.0,23.0,8,f5c3eb7b-a26d-4dfd-bf56-9baa9ff2a40e
22,13,3,5,2,179,26,9,30,343.253,95,0,3,0,0,0,0,56.0,171.0,19.0,8,f5dfffbe-d0f5-4ca9-91a4-68ab6fdc9aef
33,14,3,6,2,248,25,14,47,343.253,95,0,1,2,0,0,1,86.0,165.0,32.0,3,f5e690dd-d98d-45f5-a1b8-4c30f2e8ee9d
20,13,3,6,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65.0,168.0,23.0,40,f5f9f485-ce36-4ef6-a652-45069595acbe
17,11,3,2,2,179,22,17,40,343.253,95,0,2,2,0,1,0,63.0,170.0,22.0,40,f627645d-5a24-43f4-9269-b694978a54a1
14,1,3,2,2,155,12,14,34,343.253,95,0,1,2,1,0,0,95.0,196.0,25.0,16,f632b081-8066-43cb-933c-a1b5d0018d4a
20,26,3,2,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65.0,168.0,23.0,16,f691402c-b202-4b36-9a33-47f71c6ae673
14,13,3,3,2,155,12,14,34,343.253,95,0,1,2,1,0,0,95.0,196.0,25.0,8,f6e27e75-0ff9-46dd-b149-13b938610795
11,6,3,5,2,289,36,13,33,343.253,95,0,1,2,1,0,1,90.0,172.0,30.0,8,f70c8f80-deb3-49a1-9b9b-9ff89bed146a
17,8,3,5,2,179,22,17,40,343.253,95,0,2,2,0,1,0,63.0,170.0,22.0,8,f76168d1-40f0-4a6d-9ffd-8779f1128ede
20,28,3,6,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65.0,168.0,23.0,4,f7807d63-c040-45bb-87ad-223566b71ca7
28,23,3,6,2,225,26,9,28,343.253,95,0,1,1,0,0,2,69.0,169.0,24.0,1,f7c4b343-3973-47bc-9db6-4ec93aeb49c6
7,14,3,2,2,279,5,14,39,343.253,95,0,1,2,1,1,0,68.0,168.0,24.0,8,f7d43bc9-a4be-4529-b295-f35a0d0a29b6
3,13,3,3,2,179,51,18,38,343.253,95,0,1,0,1,0,0,89.0,170.0,31.0,24,f7e17590-d962-470d-936c-4747de0cd92a
28,23,3,4,2,225,26,9,28,343.253,95,0,1,1,0,0,2,69.0,169.0,24.0,2,f7e68e91-c3df-4d0d-928f-26cbd5c24f20
28,11,3,2,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69.0,169.0,24.0,8,f800398a-037d-4b63-a402-8354313ebd19
22,13,3,2,3,179,26,9,30,343.253,95,0,3,0,0,0,0,56.0,171.0,19.0,1,f842f7ba-7d8d-440e-a966-3063de5180b9
